date,price,trend_5y,cagr_5y,dev_pct_5y,dev_sigma_5y,trend_10y,cagr_10y,dev_pct_10y,dev_sigma_10y
2010-01-04,37.23472595214844,,,,,,,,
2010-01-05,37.68465042114258,,,,,,,,
2010-01-06,37.307682037353516,,,,,,,,
2010-01-07,37.070552825927734,,,,,,,,
2010-01-08,36.9489631652832,,,,,,,,
2010-01-11,36.90639877319336,,,,,,,,
2010-01-12,37.42319869995117,,,,,,,,
2010-01-13,37.727203369140625,,,,,,,,
2010-01-14,38.18320083618164,,,,,,,,
2010-01-15,37.87312698364258,,,,,,,,
2010-01-19,37.8974609375,,,,,,,,
2010-01-20,37.66640090942383,,,,,,,,
2010-01-21,37.05231857299805,,,,,,,,
2010-01-22,36.71790313720703,,,,,,,,
2010-01-25,36.6206169128418,,,,,,,,
2010-01-26,36.63279342651367,,,,,,,,
2010-01-27,36.65711212158203,,,,,,,,
2010-01-28,36.32269287109375,,,,,,,,
2010-01-29,36.24974060058594,,,,,,,,
2010-02-01,36.90639877319336,,,,,,,,
2010-02-02,37.18000411987305,,,,,,,,
2010-02-03,37.26511001586914,,,,,,,,
2010-02-04,36.26190948486328,,,,,,,,
2010-02-05,36.1828727722168,,,,,,,,
2010-02-08,35.848445892333984,,,,,,,,
2010-02-09,36.51118469238281,,,,,,,,
2010-02-10,36.71182632446289,,,,,,,,
2010-02-11,37.20431900024414,,,,,,,,
2010-02-12,37.04014587402344,,,,,,,,
2010-02-16,37.27728271484375,,,,,,,,
2010-02-17,37.76368713378906,,,,,,,,
2010-02-18,38.01905822753906,,,,,,,,
2010-02-19,38.09809112548828,,,,,,,,
2010-02-22,37.94609451293945,,,,,,,,
2010-02-23,37.563045501708984,,,,,,,,
2010-02-24,37.74545669555664,,,,,,,,
2010-02-25,37.87921142578125,,,,,,,,
2010-02-26,37.982566833496094,,,,,,,,
2010-03-01,38.56626892089844,,,,,,,,
2010-03-02,38.79121017456055,,,,,,,,
2010-03-03,39.17699432373047,,,,,,,,
2010-03-04,39.25660705566406,,,,,,,,
2010-03-05,39.41581726074219,,,,,,,,
2010-03-08,39.28109359741211,,,,,,,,
2010-03-09,39.409690856933594,,,,,,,,
2010-03-10,39.452552795410156,,,,,,,,
2010-03-11,39.78321838378906,,,,,,,,
2010-03-12,39.86280822753906,,,,,,,,
2010-03-15,40.50577163696289,,,,,,,,
2010-03-16,40.456783294677734,,,,,,,,
2010-03-17,40.762935638427734,,,,,,,,
2010-03-18,40.73231506347656,,,,,,,,
2010-03-19,40.75682067871094,,,,,,,,
2010-03-22,40.60373306274414,,,,,,,,
2010-03-23,40.940521240234375,,,,,,,,
2010-03-24,40.57311248779297,,,,,,,,
2010-03-25,40.750701904296875,,,,,,,,
2010-03-26,40.775177001953125,,,,,,,,
2010-03-29,40.750701904296875,,,,,,,,
2010-03-30,40.885406494140625,,,,,,,,
2010-03-31,40.511871337890625,,,,,,,,
2010-04-01,40.83028793334961,,,,,,,,
2010-04-05,40.401668548583984,,,,,,,,
2010-04-06,40.65272521972656,,,,,,,,
2010-04-07,40.40778732299805,,,,,,,,
2010-04-08,40.39555740356445,,,,,,,,
2010-04-09,40.63435745239258,,,,,,,,
2010-04-12,40.6098518371582,,,,,,,,
2010-04-13,40.65272521972656,,,,,,,,
2010-04-14,40.59148025512695,,,,,,,,
2010-04-15,40.57925033569336,,,,,,,,
2010-04-16,40.499637603759766,,,,,,,,
2010-04-19,40.487403869628906,,,,,,,,
2010-04-20,40.35267639160156,,,,,,,,
2010-04-21,40.401668548583984,,,,,,,,
2010-04-22,39.65462875366211,,,,,,,,
2010-04-23,39.6240119934082,,,,,,,,
2010-04-26,39.81380844116211,,,,,,,,
2010-04-27,39.330078125,,,,,,,,
2010-04-28,39.648494720458984,,,,,,,,
2010-04-29,39.92404556274414,,,,,,,,
2010-04-30,39.93630599975586,,,,,,,,
2010-05-03,40.224098205566406,,,,,,,,
2010-05-04,40.064876556396484,,,,,,,,
2010-05-05,39.92404556274414,,,,,,,,
2010-05-06,39.61787414550781,,,,,,,,
2010-05-07,39.538272857666016,,,,,,,,
2010-05-10,40.66496658325195,,,,,,,,
2010-05-11,40.750701904296875,,,,,,,,
2010-05-12,40.9895133972168,,,,,,,,
2010-05-13,40.70783233642578,,,,,,,,
2010-05-14,40.456783294677734,,,,,,,,
2010-05-17,40.873172760009766,,,,,,,,
2010-05-18,40.738433837890625,,,,,,,,
2010-05-19,40.438392639160156,,,,,,,,
2010-05-20,39.1035270690918,,,,,,,,
2010-05-21,38.93206024169922,,,,,,,,
2010-05-24,38.77286148071289,,,,,,,,
2010-05-25,38.509559631347656,,,,,,,,
2010-05-26,37.49308395385742,,,,,,,,
2010-05-27,38.515682220458984,,,,,,,,
2010-05-28,38.509559631347656,,,,,,,,
2010-06-01,38.42995834350586,,,,,,,,
2010-06-02,39.1580696105957,,,,,,,,
2010-06-03,39.102542877197266,,,,,,,,
2010-06-04,37.91164016723633,,,,,,,,
2010-06-07,38.090579986572266,,,,,,,,
2010-06-08,38.65826416015625,,,,,,,,
2010-06-09,38.559547424316406,,,,,,,,
2010-06-10,39.39255142211914,,,,,,,,
2010-06-11,39.21977996826172,,,,,,,,
2010-06-14,39.398719787597656,,,,,,,,
2010-06-15,39.63935470581055,,,,,,,,
2010-06-16,39.43575668334961,,,,,,,,
2010-06-17,39.79364013671875,,,,,,,,
2010-06-18,39.54064178466797,,,,,,,,
2010-06-21,39.50362014770508,,,,,,,,
2010-06-22,39.05935287475586,,,,,,,,
2010-06-23,38.707637786865234,,,,,,,,
2010-06-24,38.50402069091797,,,,,,,,
2010-06-25,37.49819564819336,,,,,,,,
2010-06-28,38.232505798339844,,,,,,,,
2010-06-29,37.78205490112305,,,,,,,,
2010-06-30,37.609283447265625,,,,,,,,
2010-07-01,37.960994720458984,,,,,,,,
2010-07-02,37.9671745300293,,,,,,,,
2010-07-06,38.0350456237793,,,,,,,,
2010-07-07,38.83104705810547,,,,,,,,
2010-07-08,39.491275787353516,,,,,,,,
2010-07-09,39.18276596069336,,,,,,,,
2010-07-12,39.33084487915039,,,,,,,,
2010-07-13,39.139564514160156,,,,,,,,
2010-07-14,39.21977996826172,,,,,,,,
2010-07-15,38.972957611083984,,,,,,,,
2010-07-16,38.534847259521484,,,,,,,,
2010-07-19,38.28803253173828,,,,,,,,
2010-07-20,39.941734313964844,,,,,,,,
2010-07-21,39.46043014526367,,,,,,,,
2010-07-22,39.6208610534668,,,,,,,,
2010-07-23,39.768951416015625,,,,,,,,
2010-07-26,40.09599304199219,,,,,,,,
2010-07-27,40.53409194946289,,,,,,,,
2010-07-28,40.23173904418945,,,,,,,,
2010-07-29,40.04046630859375,,,,,,,,
2010-07-30,40.05280685424805,,,,,,,,
2010-08-02,40.274932861328125,,,,,,,,
2010-08-03,40.58345413208008,,,,,,,,
2010-08-04,40.83027267456055,,,,,,,,
2010-08-05,40.46622085571289,,,,,,,,
2010-08-06,40.6636848449707,,,,,,,,
2010-08-09,40.984561920166016,,,,,,,,
2010-08-10,41.05242919921875,,,,,,,,
2010-08-11,40.386016845703125,,,,,,,,
2010-08-12,40.219417572021484,,,,,,,,
2010-08-13,40.45390319824219,,,,,,,,
2010-08-16,40.37366485595703,,,,,,,,
2010-08-17,40.447715759277344,,,,,,,,
2010-08-18,40.42920684814453,,,,,,,,
2010-08-19,39.89854431152344,,,,,,,,
2010-08-20,39.98492431640625,,,,,,,,
2010-08-23,39.99726486206055,,,,,,,,
2010-08-24,39.972591400146484,,,,,,,,
2010-08-25,39.843013763427734,,,,,,,,
2010-08-26,39.571502685546875,,,,,,,,
2010-08-27,39.56532669067383,,,,,,,,
2010-08-30,39.24446105957031,,,,,,,,
2010-08-31,39.602352142333984,,,,,,,,
2010-09-01,40.34217834472656,,,,,,,,
2010-09-02,40.39191436767578,,,,,,,,
2010-09-03,40.764930725097656,,,,,,,,
2010-09-07,40.708980560302734,,,,,,,,
2010-09-08,40.677879333496094,,,,,,,,
2010-09-09,41.09443664550781,,,,,,,,
2010-09-10,41.28715896606445,,,,,,,,
2010-09-13,41.18769454956055,,,,,,,,
2010-09-14,41.01982879638672,,,,,,,,
2010-09-15,41.343116760253906,,,,,,,,
2010-09-16,41.4114990234375,,,,,,,,
2010-09-17,41.10686492919922,,,,,,,,
2010-09-20,41.585575103759766,,,,,,,,
2010-09-21,41.31824493408203,,,,,,,,
2010-09-22,41.442588806152344,,,,,,,,
2010-09-23,40.90169906616211,,,,,,,,
2010-09-24,41.11308288574219,,,,,,,,
2010-09-27,41.26227951049805,,,,,,,,
2010-09-28,41.517189025878906,,,,,,,,
2010-09-29,41.498531341552734,,,,,,,,
2010-09-30,41.30580520629883,,,,,,,,
2010-10-01,41.65397262573242,,,,,,,,
2010-10-04,41.573143005371094,,,,,,,,
2010-10-05,42.126461029052734,,,,,,,,
2010-10-06,42.344058990478516,,,,,,,,
2010-10-07,41.09443664550781,,,,,,,,
2010-10-08,40.8768424987793,,,,,,,,
2010-10-11,40.73386001586914,,,,,,,,
2010-10-12,41.082000732421875,,,,,,,,
2010-10-13,41.280948638916016,,,,,,,,
2010-10-14,41.43017578125,,,,,,,,
2010-10-15,41.45503234863281,,,,,,,,
2010-10-18,41.343116760253906,,,,,,,,
2010-10-19,40.66545867919922,,,,,,,,
2010-10-20,40.39191436767578,,,,,,,,
2010-10-21,40.52247619628906,,,,,,,,
2010-10-22,40.416786193847656,,,,,,,,
2010-10-25,40.441654205322266,,,,,,,,
2010-10-26,40.28001022338867,,,,,,,,
2010-10-27,39.95673370361328,,,,,,,,
2010-10-28,40.416786193847656,,,,,,,,
2010-10-29,40.597076416015625,,,,,,,,
2010-11-01,40.752498626708984,,,,,,,,
2010-11-02,40.907936096191406,,,,,,,,
2010-11-03,40.5349006652832,,,,,,,,
2010-11-04,40.62816619873047,,,,,,,,
2010-11-05,40.46029281616211,,,,,,,,
2010-11-08,40.478946685791016,,,,,,,,
2010-11-09,40.597076416015625,,,,,,,,
2010-11-10,40.56599044799805,,,,,,,,
2010-11-11,40.348392486572266,,,,,,,,
2010-11-12,40.18674087524414,,,,,,,,
2010-11-15,40.04998016357422,,,,,,,,
2010-11-16,39.81372833251953,,,,,,,,
2010-11-17,39.75156784057617,,,,,,,,
2010-11-18,40.26755905151367,,,,,,,,
2010-11-19,40.23026657104492,,,,,,,,
2010-11-22,40.22406005859375,,,,,,,,
2010-11-23,39.72047805786133,,,,,,,,
2010-11-24,39.994022369384766,,,,,,,,
