date,price,trend_5y,cagr_5y,dev_pct_5y,dev_sigma_5y,trend_10y,cagr_10y,dev_pct_10y,dev_sigma_10y
2010-01-04,37.861087799072266,,,,,,,,
2010-01-05,37.87348175048828,,,,,,,,
2010-01-06,37.6938362121582,,,,,,,,
2010-01-07,37.48942184448242,,,,,,,,
2010-01-08,37.43986511230469,,,,,,,,
2010-01-11,37.291194915771484,,,,,,,,
2010-01-12,37.7186164855957,,,,,,,,
2010-01-13,38.10887145996094,,,,,,,,
2010-01-14,38.14604187011719,,,,,,,,
2010-01-15,37.67526626586914,,,,,,,,
2010-01-19,38.23276138305664,,,,,,,,
2010-01-20,37.71493148803711,,,,,,,,
2010-01-21,37.334346771240234,,,,,,,,
2010-01-22,37.62757873535156,,,,,,,,
2010-01-25,37.827232360839844,,,,,,,,
2010-01-26,37.86467361450195,,,,,,,,
2010-01-27,37.939537048339844,,,,,,,,
2010-01-28,38.48233413696289,,,,,,,,
2010-01-29,38.40122985839844,,,,,,,,
2010-02-01,38.67573928833008,,,,,,,,
2010-02-02,39.243492126464844,,,,,,,,
2010-02-03,39.087520599365234,,,,,,,,
2010-02-04,38.307640075683594,,,,,,,,
2010-02-05,38.24525833129883,,,,,,,,
2010-02-08,38.06431579589844,,,,,,,,
2010-02-09,38.532230377197266,,,,,,,,
2010-02-10,38.47608184814453,,,,,,,,
2010-02-11,38.657020568847656,,,,,,,,
2010-02-12,38.532230377197266,,,,,,,,
2010-02-16,39.1998176574707,,,,,,,,
2010-02-17,39.21229934692383,,,,,,,,
2010-02-18,39.549190521240234,,,,,,,,
2010-02-19,39.586639404296875,,,,,,,,
2010-02-22,39.56791687011719,,,,,,,,
2010-02-23,39.43689727783203,,,,,,,,
2010-02-24,39.861148834228516,,,,,,,,
2010-02-25,39.74262237548828,,,,,,,,
2010-02-26,39.48057556152344,,,,,,,,
2010-03-01,39.62406539916992,,,,,,,,
2010-03-02,39.74885559082031,,,,,,,,
2010-03-03,39.649017333984375,,,,,,,,
2010-03-04,39.723899841308594,,,,,,,,
2010-03-05,39.736366271972656,,,,,,,,
2010-03-08,39.42442321777344,,,,,,,,
2010-03-09,39.4930534362793,,,,,,,,
2010-03-10,39.31211853027344,,,,,,,,
2010-03-11,39.411964416503906,,,,,,,,
2010-03-12,39.50552749633789,,,,,,,,
2010-03-15,39.74262237548828,,,,,,,,
2010-03-16,39.63655471801758,,,,,,,,
2010-03-17,39.93601989746094,,,,,,,,
